id;emp_id;name;email
1;South Dakota French Southern Territories;Global SCSI;Lavada.Wilkinson65@gmail.com
2;Senior Intelligent Plastic Tuna Savings Account;copying user-centric Oregon;Derick88@yahoo.com
3;Forward;sensor Sports;Blaze.Ferry@gmail.com
4;Isle;wireless Configuration aggregate;John53@gmail.com
5;Health convergence Kids;portals withdrawal;Jordon48@gmail.com
6;Riel Djibouti Franc;Ergonomic hack JBOD;Colby_Torphy22@hotmail.com
7;Optimization Streets parallelism;Pula sensor;Zita94@hotmail.com
8;Reduced primary;Incredible Rubber;Foster_Turner@yahoo.com
9;Intranet Facilitator Grove;challenge Light Tasty;Oma.Turner32@hotmail.com
10;Specialist;Usability Computers;Julianne_Becker@hotmail.com
